City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Port Elizabeth,ZA,-33.918,25.5701,69.1,73,0,21.85,clear sky
1,Richards Bay,ZA,-28.783,32.0377,71.33,91,73,13.67,light rain
2,Ushuaia,AR,-54.8,-68.3,44.26,61,75,9.22,broken clouds
3,Lebu,CL,-37.6167,-73.65,60.17,92,12,7.85,few clouds
4,Hermanus,ZA,-34.4187,19.2345,64.9,92,41,5.55,light rain
5,Qaanaaq,GL,77.484,-69.3632,-2.15,51,19,8.99,few clouds
6,Necochea,AR,-38.5473,-58.7368,68.04,70,75,14.76,broken clouds
7,Mandera,KE,3.9366,41.867,81.18,32,81,8.66,broken clouds
8,Falmouth,GB,50.1544,-5.0711,52.7,93,75,18.41,mist
9,Nanortalik,GL,60.1432,-45.2371,17.11,66,100,42.59,overcast clouds
10,Venado Tuerto,AR,-33.7456,-61.9688,70.77,65,100,11.12,overcast clouds
11,Luderitz,NA,-26.6481,15.1594,67.23,74,0,13.65,clear sky
12,Dhidhdhoo,MV,6.8833,73.1,82.02,76,67,13.33,broken clouds
13,Mehamn,NO,71.0357,27.8492,25.88,69,100,15.68,overcast clouds
14,Torbay,CA,47.6666,-52.7314,26.76,80,100,12.66,overcast clouds
15,Kimamba,TZ,-6.7833,37.1333,70.23,96,57,0.63,light rain
16,Filadelfia,US,39.9523,-75.1638,30.36,36,20,20.71,few clouds
17,Kudahuvadhoo,MV,2.6708,72.8944,82.08,68,97,10.76,overcast clouds
18,Tiznit,MA,29.5833,-9.5,51.87,87,52,4.97,broken clouds
19,Belyy Yar,RU,53.6039,91.3903,-0.51,85,98,2.24,overcast clouds
20,Monrovia,LR,6.3005,-10.7969,79.14,89,18,6.51,few clouds
21,Iqaluit,CA,63.7506,-68.5145,-31.27,73,20,4.61,few clouds
22,Jamestown,US,42.097,-79.2353,17.19,67,100,9.22,mist
23,Nueve De Julio,AR,-35.4444,-60.8831,73.71,85,100,13.04,moderate rain
24,San Cristobal,VE,7.7669,-72.225,69.98,88,97,3.09,overcast clouds
25,Hambantota,LK,6.1241,81.1185,74.8,88,32,7.14,scattered clouds
26,Oranjemund,NA,-28.55,16.4333,63.43,94,21,9.82,few clouds
27,Cape Town,ZA,-33.9258,18.4232,69.1,78,20,8.05,few clouds
28,Stromness,GB,58.965,-3.296,37.65,76,100,31.68,overcast clouds
29,Busselton,AU,-33.65,115.3333,69.04,67,88,13.73,overcast clouds
30,Albany,US,42.6001,-73.9662,23.23,69,51,1.01,light snow
31,Bredasdorp,ZA,-34.5322,20.0403,64.27,88,5,6.91,clear sky
32,Georgetown,MY,5.4112,100.3354,80.53,92,20,3.44,few clouds
33,Naklo Nad Notecia,PL,53.1421,17.6018,35.55,76,57,12.82,broken clouds
34,Puerto Del Rosario,ES,28.5004,-13.8627,60.55,77,62,23.02,broken clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,73.83,91,100,10.71,heavy intensity rain
36,Milos,GR,36.75,24.4333,48.92,65,72,13.15,broken clouds
37,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,68,70,3.31,broken clouds
38,Saint-Augustin,CA,51.226,-58.6502,3.24,90,85,1.3,overcast clouds
39,Prado,BR,-17.3411,-39.2208,78.39,84,43,10.89,scattered clouds
40,Quelimane,MZ,-17.8786,36.8883,74.79,96,96,1.74,light rain
41,Ponta Do Sol,PT,32.6667,-17.1,59.72,67,61,9.75,broken clouds
42,Inta,RU,66.0317,60.1659,26.24,83,81,16.44,broken clouds
43,Sao Gabriel,BR,-30.3364,-54.32,77.79,31,36,3.49,scattered clouds
44,Longyearbyen,SJ,78.2186,15.6401,-0.56,85,75,12.66,light snow
45,Caravelas,BR,-17.7125,-39.2481,78.04,82,12,8.46,few clouds
46,Mezen,RU,65.8522,44.24,27.21,93,100,9.06,overcast clouds
47,Altay,CN,47.8667,88.1167,5.86,64,34,6.96,scattered clouds
48,Lamu,KE,-2.2717,40.902,79.02,88,53,8.7,broken clouds
49,Bonavista,CA,48.6499,-53.1147,27.12,63,25,9.8,scattered clouds
50,Doha,QA,25.2867,51.5333,69.69,68,0,10.36,clear sky
51,Santa Helena De Goias,BR,-17.8136,-50.5969,65.32,97,52,4.68,broken clouds
52,Praia Da Vitoria,PT,38.7333,-27.0667,51.76,100,20,4.56,few clouds
53,Eenhana,NA,-17.4667,16.3333,73.15,85,63,3.22,light rain
54,Punta Arenas,CL,-53.15,-70.9167,46.51,81,100,9.22,overcast clouds
55,Havre-Saint-Pierre,CA,50.2334,-63.5986,14.59,85,100,16.11,overcast clouds
56,Pavlikeni,BG,43.2428,25.3219,50.38,48,99,1.19,overcast clouds
57,Victoria,HK,22.2855,114.1577,49.24,93,100,5.99,light rain
58,Sinnamary,GF,5.3833,-52.95,75.4,87,66,7.05,light rain
59,Mar Del Plata,AR,-38.0023,-57.5575,71.1,90,0,18.99,clear sky
60,Nushki,PK,29.5542,66.0215,53.69,40,0,1.36,clear sky
61,Visby,SE,57.6409,18.296,36.77,93,75,13.8,light rain
62,Hargeysa,SO,9.56,44.065,56.05,88,49,10.29,scattered clouds
63,Mansehra,PK,34.3333,73.2,41.59,44,0,6.35,clear sky
64,Sambava,MG,-14.2667,50.1667,74.61,85,94,5.57,overcast clouds
65,Killybegs,IE,54.6333,-8.45,50.45,92,100,34.02,heavy intensity rain
66,Upernavik,GL,72.7868,-56.1549,-6.16,70,100,2.21,overcast clouds
67,Kulhudhuffushi,MV,6.6221,73.07,81.97,76,69,13.73,broken clouds
68,Roald,NO,62.5833,6.1333,37.0,93,75,20.71,broken clouds
69,Mangrol,IN,21.1167,70.1167,70.27,41,4,11.05,clear sky
70,Vedasandur,IN,10.5333,77.95,69.26,93,25,2.35,scattered clouds
71,Belomorsk,RU,64.5232,34.7668,2.01,100,86,2.77,overcast clouds
72,Port Alfred,ZA,-33.5906,26.891,71.49,75,2,18.81,clear sky
73,Dikson,RU,73.5069,80.5464,22.23,95,100,19.44,light snow
74,Terekli-Mekteb,RU,44.1671,45.8698,41.14,86,30,5.28,scattered clouds
75,Codrington,AU,-38.2667,141.9667,63.57,61,100,11.25,overcast clouds
76,Santa Cruz,BO,-17.8,-63.1667,78.26,78,40,9.22,scattered clouds
77,Touros,BR,-5.1989,-35.4608,79.7,79,16,10.6,few clouds
78,Podor,MR,16.6527,-14.9587,78.75,25,18,2.3,few clouds
79,Margate,GB,51.3813,1.3862,44.31,84,85,3.0,overcast clouds
80,Chuy,UY,-33.6971,-53.4616,68.77,83,10,7.96,clear sky
81,Caninde De Sao Francisco,BR,-9.66,-37.7894,78.13,77,88,8.46,overcast clouds
82,Boa Vista,BR,2.8197,-60.6733,85.98,48,0,6.91,clear sky
83,Hithadhoo,MV,-0.6,73.0833,81.23,71,88,3.85,overcast clouds
84,Brufut,GM,13.3814,-16.7518,71.69,60,20,5.75,haze
85,Floro,NO,61.5996,5.0328,37.36,70,100,16.11,light rain
86,Sabla,NG,12.7525,4.7077,72.45,12,3,12.37,clear sky
87,Coquimbo,CL,-29.9533,-71.3436,66.54,75,1,7.05,clear sky
88,Middleton,GB,53.55,-2.2,43.05,94,100,12.77,moderate rain
89,East London,ZA,-33.0153,27.9116,72.57,80,53,19.17,broken clouds
90,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.08,98,100,1.28,overcast clouds
91,Krasnoselkup,RU,65.7,82.4667,16.34,93,98,17.27,overcast clouds
92,Qasigiannguit,GL,68.8193,-51.1922,8.85,95,100,7.29,overcast clouds
93,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,26.46,light intensity shower rain
94,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,31.07,heavy snow
95,Ishnya,RU,57.1907,39.36,35.47,97,100,12.53,overcast clouds
96,Iquique,CL,-20.2208,-70.1431,69.31,80,36,0.74,scattered clouds
97,Qaqortoq,GL,60.7167,-46.0333,14.5,64,100,31.59,overcast clouds
